fitnessCallNoOverall,fitnessCallNoByClusterGroup,dependentClusterGroup,searchStepName,iterationNumber,generationNumber,computedFitnessScore,computedInconsistenciesObjectiveScore,computedAestheticObjectiveScore
116,116,"[C8, C17, C7, C39, C15, C25]",avm,1,1,337.9998984117419,337.0,3133.3333333333326
117,117,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9998984117419,796.0,3133.3333333333326
118,118,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9998984117419,796.0,3133.3333333333326
119,119,"[C8, C17, C7, C39, C15, C25]",avm,1,1,1.9100000999166414E7,1000000.0,381.85486127173317
120,120,"[C8, C17, C7, C39, C15, C25]",avm,1,1,784.999166413235,784.0,381.85486127173317
121,121,"[C8, C17, C7, C39, C15, C25]",avm,1,1,760.9993353292797,760.0,478.89791714853277
122,122,"[C8, C17, C7, C39, C15, C25]",avm,1,1,712.9995270175245,712.0,672.9840289021322
123,123,"[C8, C17, C7, C39, C15, C25]",avm,1,1,616.9997000349466,616.0,1061.156252409331
124,124,"[C8, C17, C7, C39, C15, C25]",avm,1,1,32806.99982724031,32806.0,1842.5006994237292
125,125,"[C8, C17, C7, C39, C15, C25]",avm,1,1,628.9996856617939,628.0,1012.6347244709312
126,126,"[C8, C17, C7, C39, C15, C25]",avm,1,1,604.9997131511457,604.0,1109.677780347731
127,127,"[C8, C17, C7, C39, C15, C25]",avm,1,1,580.9997362191787,580.0,1206.720836224531
128,128,"[C8, C17, C7, C39, C15, C25]",avm,1,1,532.9997727668094,532.0,1400.8069479781307
129,129,"[C8, C17, C7, C39, C15, C25]",avm,1,1,32946.999822196034,32946.0,1790.2291714853295
130,130,"[C8, C17, C7, C39, C15, C25]",avm,1,1,544.9997646134289,544.0,1352.2854200397308
131,131,"[C8, C17, C7, C39, C15, C25]",avm,1,1,520.9997803742623,520.0,1449.3284759165306
132,132,"[C8, C17, C7, C39, C15, C25]",avm,1,1,496.999794156944,496.0,1546.3715317933302
133,133,"[C8, C17, C7, C39, C15, C25]",avm,1,1,448.9998171114061,448.0,1740.4576435469296
134,134,"[C8, C17, C7, C39, C15, C25]",avm,1,1,114948.9998538106,114948.0,2177.379867054128
135,135,"[C8, C17, C7, C39, C15, C25]",avm,1,1,460.9998118665083,460.0,1691.93611560853
136,136,"[C8, C17, C7, C39, C15, C25]",avm,1,1,32946.999822196034,32946.0,1790.2291714853295
137,137,"[C8, C17, C7, C39, C15, C25]",avm,1,1,817.9994810169497,817.0,613.3333333333331
138,138,"[C8, C17, C7, C39, C15, C25]",avm,1,1,1.910000099948102E7,1000000.0,613.3333333333331
139,139,"[C8, C17, C7, C39, C15, C25]",avm,1,1,1.910000099916735E7,1000000.0,382.2843822843822
140,140,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9991673498189,796.0,382.2843822843822
141,141,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9991034055198,796.0,355.02008032128504
